x,y,z
3.6576e+06,-1.69882e+06,8.7477e+07
2.51406e+06,-1.72352e+06,8.95792e+07
1.34273e+06,-1.74791e+06,9.16654e+07
143847,-1.77199e+06,9.37355e+07
-1.08234e+06,-1.79575e+06,9.57889e+07
-2.33559e+06,-1.81919e+06,9.78255e+07
-3.61564e+06,-1.8423e+06,9.98447e+07
-4.92225e+06,-1.86509e+06,1.01846e+08
-6.25514e+06,-1.88755e+06,1.0383e+08
-7.61407e+06,-1.90967e+06,1.05795e+08
-8.99875e+06,-1.93145e+06,1.07742e+08
-1.04089e+07,-1.95289e+06,1.09669e+08
-1.18443e+07,-1.97398e+06,1.11578e+08
-1.33046e+07,-1.99472e+06,1.13466e+08
-1.47895e+07,-2.01511e+06,1.15335e+08
-1.62987e+07,-2.03515e+06,1.17184e+08
-1.78321e+07,-2.05482e+06,1.19012e+08
-1.93891e+07,-2.07413e+06,1.20819e+08
-2.09697e+07,-2.09308e+06,1.22604e+08
-2.25733e+07,-2.11165e+06,1.24369e+08
-2.41998e+07,-2.12986e+06,1.26111e+08
-2.58489e+07,-2.14769e+06,1.27832e+08
-2.75201e+07,-2.16514e+06,1.2953e+08
-2.92133e+07,-2.18221e+06,1.31206e+08
-3.0928e+07,-2.1989e+06,1.32858e+08
-3.26639e+07,-2.21521e+06,1.34488e+08
-3.44208e+07,-2.23113e+06,1.36094e+08
-3.61982e+07,-2.24666e+06,1.37676e+08
-3.79959e+07,-2.26179e+06,1.39235e+08
-3.98135e+07,-2.27653e+06,1.40769e+08
-4.16506e+07,-2.29088e+06,1.42279e+08
-4.3507e+07,-2.30482e+06,1.43764e+08
-4.53823e+07,-2.31837e+06,1.45225e+08
-4.72761e+07,-2.33151e+06,1.4666e+08
-4.91881e+07,-2.34425e+06,1.4807e+08
-5.11179e+07,-2.35658e+06,1.49454e+08
-5.30651e+07,-2.3685e+06,1.50813e+08
-5.50295e+07,-2.38002e+06,1.52146e+08
-5.70106e+07,-2.39112e+06,1.53452e+08
-5.90082e+07,-2.40181e+06,1.54732e+08
-6.10217e+07,-2.41209e+06,1.55986e+08
-6.30509e+07,-2.42195e+06,1.57213e+08
-6.50954e+07,-2.4314e+06,1.58413e+08
-6.71548e+07,-2.44042e+06,1.59586e+08
-6.92287e+07,-2.44903e+06,1.60731e+08
-7.13168e+07,-2.45722e+06,1.61849e+08
-7.34187e+07,-2.46499e+06,1.6294e+08
-7.55341e+07,-2.47234e+06,1.64003e+08
-7.76624e+07,-2.47926e+06,1.65037e+08
-7.98035e+07,-2.48577e+06,1.66044e+08
-8.19568e+07,-2.49185e+06,1.67023e+08
-8.4122e+07,-2.4975e+06,1.67973e+08
-8.62987e+07,-2.50274e+06,1.68895e+08
-8.84866e+07,-2.50754e+06,1.69789e+08
-9.06852e+07,-2.51192e+06,1.70653e+08
-9.28941e+07,-2.51588e+06,1.71489e+08
-9.51131e+07,-2.51941e+06,1.72296e+08
-9.73416e+07,-2.52252e+06,1.73074e+08
-9.95793e+07,-2.5252e+06,1.73823e+08
-1.01826e+08,-2.52745e+06,1.74543e+08
-1.04081e+08,-2.52928e+06,1.75233e+08
-1.06344e+08,-2.53069e+06,1.75895e+08
-1.08614e+08,-2.53167e+06,1.76526e+08
-1.10892e+08,-2.53223e+06,1.77128e+08
-1.13177e+08,-2.53236e+06,1.77701e+08
-1.15468e+08,-2.53207e+06,1.78244e+08
-1.17765e+08,-2.53136e+06,1.78758e+08
-1.20068e+08,-2.53022e+06,1.79241e+08
-1.22377e+08,-2.52866e+06,1.79695e+08
-1.2469e+08,-2.52669e+06,1.8012e+08
-1.27008e+08,-2.52429e+06,1.80514e+08
-1.29329e+08,-2.52147e+06,1.80878e+08
-1.31655e+08,-2.51824e+06,1.81213e+08
-1.33984e+08,-2.51459e+06,1.81518e+08
-1.36316e+08,-2.51052e+06,1.81793e+08
-1.3865e+08,-2.50604e+06,1.82038e+08
-1.40987e+08,-2.50115e+06,1.82253e+08
-1.43325e+08,-2.49584e+06,1.82438e+08
-1.45665e+08,-2.49013e+06,1.82593e+08
-1.48006e+08,-2.484e+06,1.82719e+08
-1.50347e+08,-2.47747e+06,1.82814e+08
-1.52689e+08,-2.47054e+06,1.8288e+08
-1.55031e+08,-2.4632e+06,1.82916e+08
-1.57372e+08,-2.45545e+06,1.82922e+08
-1.59712e+08,-2.44731e+06,1.82898e+08
-1.62051e+08,-2.43877e+06,1.82845e+08
-1.64388e+08,-2.42983e+06,1.82762e+08
-1.66724e+08,-2.42049e+06,1.82649e+08
-1.69056e+08,-2.41077e+06,1.82507e+08
-1.71387e+08,-2.40065e+06,1.82336e+08
-1.73714e+08,-2.39014e+06,1.82135e+08
-1.76037e+08,-2.37925e+06,1.81904e+08
-1.78357e+08,-2.36798e+06,1.81645e+08
-1.80672e+08,-2.35632e+06,1.81356e+08
-1.82983e+08,-2.34428e+06,1.81038e+08
-1.85289e+08,-2.33187e+06,1.80691e+08
-1.87589e+08,-2.31908e+06,1.80316e+08
-1.89884e+08,-2.30592e+06,1.79911e+08
-1.92173e+08,-2.29239e+06,1.79478e+08
-1.94455e+08,-2.27849e+06,1.79016e+08
-1.96731e+08,-2.26423e+06,1.78525e+08
-1.98999e+08,-2.24961e+06,1.78007e+08
-2.0126e+08,-2.23463e+06,1.7746e+08
-2.03513e+08,-2.2193e+06,1.76885e+08
-2.05758e+08,-2.20361e+06,1.76281e+08
-2.07995e+08,-2.18757e+06,1.7565e+08
-2.10223e+08,-2.17119e+06,1.74992e+08
-2.12441e+08,-2.15446e+06,1.74305e+08
-2.1465e+08,-2.13739e+06,1.73592e+08
-2.16849e+08,-2.11998e+06,1.7285e+08
-2.19038e+08,-2.10224e+06,1.72082e+08
-2.21217e+08,-2.08417e+06,1.71287e+08
-2.23385e+08,-2.06577e+06,1.70465e+08
-2.25541e+08,-2.04705e+06,1.69616e+08
-2.27686e+08,-2.028e+06,1.68741e+08
-2.2982e+08,-2.00864e+06,1.6784e+08
-2.31941e+08,-1.98896e+06,1.66912e+08
-2.34049e+08,-1.96897e+06,1.65958e+08
-2.36145e+08,-1.94868e+06,1.64979e+08
-2.38228e+08,-1.92808e+06,1.63974e+08
-2.40298e+08,-1.90718e+06,1.62943e+08
-2.42354e+08,-1.88598e+06,1.61887e+08
-2.44396e+08,-1.86449e+06,1.60807e+08
-2.46424e+08,-1.84271e+06,1.59701e+08
-2.48437e+08,-1.82065e+06,1.58571e+08
-2.50436e+08,-1.7983e+06,1.57416e+08
-2.52419e+08,-1.77567e+06,1.56237e+08
