x,y,z
-1.71727e+08,-103260,-1.77901e+08
-1.69427e+08,-103349,-1.78218e+08
-1.67124e+08,-103421,-1.78504e+08
-1.64817e+08,-103474,-1.78759e+08
-1.62507e+08,-103510,-1.78984e+08
-1.60194e+08,-103528,-1.79178e+08
-1.57879e+08,-103529,-1.7934e+08
-1.55562e+08,-103511,-1.79472e+08
-1.53244e+08,-103475,-1.79573e+08
-1.50925e+08,-103422,-1.79643e+08
-1.48605e+08,-103351,-1.79683e+08
-1.46285e+08,-103262,-1.79691e+08
-1.43965e+08,-103156,-1.79669e+08
-1.41646e+08,-103031,-1.79615e+08
-1.39328e+08,-102889,-1.79531e+08
-1.37011e+08,-102729,-1.79416e+08
-1.34696e+08,-102552,-1.7927e+08
-1.32382e+08,-102357,-1.79094e+08
-1.30072e+08,-102145,-1.78887e+08
-1.27764e+08,-101915,-1.78649e+08
-1.2546e+08,-101667,-1.78381e+08
-1.2316e+08,-101402,-1.78082e+08
-1.20863e+08,-101120,-1.77753e+08
-1.18571e+08,-100820,-1.77393e+08
-1.16285e+08,-100503,-1.77003e+08
-1.14003e+08,-100169,-1.76582e+08
-1.11727e+08,-99818,-1.76132e+08
-1.09457e+08,-99449.8,-1.75651e+08
-1.07194e+08,-99064.5,-1.7514e+08
-1.04937e+08,-98662.2,-1.746e+08
-1.02688e+08,-98243.1,-1.74029e+08
-1.00446e+08,-97807.2,-1.73429e+08
-9.82119e+07,-97354.5,-1.728e+08
-9.59865e+07,-96885.3,-1.7214e+08
-9.37698e+07,-96399.4,-1.71452e+08
-9.15622e+07,-95897.1,-1.70734e+08
-8.93641e+07,-95378.4,-1.69987e+08
-8.71758e+07,-94843.4,-1.69211e+08
-8.49978e+07,-94292.2,-1.68406e+08
-8.28304e+07,-93724.9,-1.67572e+08
-8.0674e+07,-93141.6,-1.6671e+08
-7.85289e+07,-92542.4,-1.65819e+08
-7.63954e+07,-91927.4,-1.649e+08
-7.42741e+07,-91296.6,-1.63953e+08
-7.21652e+07,-90650.3,-1.62978e+08
-7.0069e+07,-89988.4,-1.61975e+08
-6.7986e+07,-89311.2,-1.60944e+08
-6.59165e+07,-88618.7,-1.59886e+08
-6.38608e+07,-87911.1,-1.58801e+08
-6.18193e+07,-87188.5,-1.57688e+08
-5.97923e+07,-86450.9,-1.56549e+08
-5.77803e+07,-85698.6,-1.55383e+08
-5.57834e+07,-84931.6,-1.5419e+08
-5.38021e+07,-84150.1,-1.52971e+08
-5.18367e+07,-83354.2,-1.51726e+08
-4.98875e+07,-82544,-1.50455e+08
-4.79549e+07,-81719.8,-1.49158e+08
-4.60392e+07,-80881.5,-1.47836e+08
-4.41407e+07,-80029.3,-1.46488e+08
-4.22598e+07,-79163.5,-1.45116e+08
-4.03967e+07,-78284.1,-1.43718e+08
-3.85518e+07,-77391.3,-1.42296e+08
-3.67255e+07,-76485.2,-1.4085e+08
-3.49179e+07,-75566,-1.3938e+08
-3.31295e+07,-74633.9,-1.37885e+08
-3.13605e+07,-73688.9,-1.36367e+08
-2.96112e+07,-72731.3,-1.34826e+08
-2.7882e+07,-71761.2,-1.33262e+08
-2.61731e+07,-70778.8,-1.31674e+08
-2.44848e+07,-69784.2,-1.30065e+08
-2.28175e+07,-68777.6,-1.28432e+08
-2.11713e+07,-67759.2,-1.26778e+08
-1.95467e+07,-66729.2,-1.25102e+08
-1.79438e+07,-65687.6,-1.23405e+08
-1.6363e+07,-64634.7,-1.21686e+08
-1.48045e+07,-63570.7,-1.19946e+08
-1.32687e+07,-62495.7,-1.18186e+08
-1.17556e+07,-61409.9,-1.16405e+08
-1.02657e+07,-60313.6,-1.14605e+08
-8.79923e+06,-59206.8,-1.12784e+08
-7.35637e+06,-58089.8,-1.10944e+08
-5.9374e+06,-56962.7,-1.09085e+08
-4.54258e+06,-55825.8,-1.07208e+08
-3.17215e+06,-54679.2,-1.05311e+08
-1.82634e+06,-53523.1,-1.03397e+08
-505408,-52357.7,-1.01464e+08
790428,-51183.2,-9.95141e+07
2.06094e+06,-49999.9,-9.75469e+07
3.30589e+06,-48807.8,-9.55627e+07
4.52507e+06,-47607.3,-9.3562e+07
5.71826e+06,-46398.4,-9.1545e+07
6.88525e+06,-45181.5,-8.95121e+07
8.02583e+06,-43956.7,-8.74636e+07
9.13979e+06,-42724.1,-8.53999e+07
1.02269e+07,-41484.1,-8.33214e+07
1.12871e+07,-40236.9,-8.12283e+07
1.232e+07,-38982.6,-7.9121e+07
1.33256e+07,-37721.4,-7.69999e+07
1.43036e+07,-36453.6,-7.48653e+07
1.52538e+07,-35179.4,-7.27176e+07
1.61762e+07,-33898.9,-7.05572e+07
1.70704e+07,-32612.5,-6.83843e+07
1.79364e+07,-31320.3,-6.61995e+07
1.8774e+07,-30022.5,-6.4003e+07
1.95831e+07,-28719.4,-6.17952e+07
2.03634e+07,-27411.2,-5.95765e+07
2.11149e+07,-26098,-5.73473e+07
2.18374e+07,-24780.2,-5.51078e+07
2.25308e+07,-23458,-5.28587e+07
2.31949e+07,-22131.5,-5.06001e+07
2.38296e+07,-20801,-4.83324e+07
2.44349e+07,-19466.8,-4.60562e+07
2.50105e+07,-18128.9,-4.37717e+07
2.55564e+07,-16787.8,-4.14793e+07
2.60725e+07,-15443.6,-3.91795e+07
2.65586e+07,-14096.4,-3.68725e+07
2.70147e+07,-12746.7,-3.45589e+07
2.74407e+07,-11394.5,-3.22389e+07
2.78366e+07,-10040.2,-2.99131e+07
2.82021e+07,-8683.93,-2.75817e+07
2.85373e+07,-7325.93,-2.52452e+07
2.88421e+07,-5966.45,-2.2904e+07
2.91164e+07,-4605.71,-2.05585e+07
2.93601e+07,-3243.95,-1.82091e+07
2.95733e+07,-1881.4,-1.58561e+07
2.97558e+07,-518.295,-1.35e+07
2.99077e+07,845.13,-1.11412e+07
3.00288e+07,2208.64,-8.78014e+06
3.01192e+07,3572.01,-6.41712e+06
3.01789e+07,4935,-4.0526e+06
3.02077e+07,6297.38,-1.68698e+06
3.02057e+07,7658.92,679334
3.01729e+07,9019.37,3.04594e+06
3.01093e+07,10378.5,5.41243e+06
3.00148e+07,11736.1,7.7784e+06
2.98896e+07,13091.9,1.01434e+07
2.97335e+07,14445.7,1.25071e+07
2.95467e+07,15797.3,1.48691e+07
2.93291e+07,17146.4,1.72289e+07
2.90808e+07,18492.7,1.95862e+07
2.88017e+07,19836.1,2.19405e+07
2.84921e+07,21176.4,2.42915e+07
2.81518e+07,22513.2,2.66387e+07
2.77809e+07,23846.5,2.89817e+07
2.73795e+07,25175.8,3.13202e+07
2.69477e+07,26501.1,3.36536e+07
2.64855e+07,27822,3.59817e+07
2.5993e+07,29138.4,3.83041e+07
2.54703e+07,30450,4.06202e+07
2.49175e+07,31756.6,4.29298e+07
2.43346e+07,33058,4.52324e+07
2.37217e+07,34353.9,4.75276e+07
2.3079e+07,35644.2,4.98151e+07
2.24065e+07,36928.5,5.20944e+07
2.17043e+07,38206.8,5.43652e+07
2.09727e+07,39478.7,5.6627e+07
2.02116e+07,40744,5.88795e+07
1.94213e+07,42002.6,6.11223e+07
1.86018e+07,43254.1,6.33549e+07
1.77533e+07,44498.5,6.55771e+07
1.6876e+07,45735.4,6.77884e+07
1.59699e+07,46964.7,6.99884e+07
1.50352e+07,48186.2,7.21769e+07
1.40722e+07,49399.6,7.43533e+07
1.30809e+07,50604.7,7.65173e+07
1.20615e+07,51801.4,7.86686e+07
1.10143e+07,52989.3,8.08067e+07
9.93927e+06,54168.4,8.29314e+07
8.83674e+06,55338.4,8.50422e+07
7.70686e+06,56499.2,8.71388e+07
6.54983e+06,57650.4,8.92208e+07
5.36585e+06,58791.9,9.12879e+07
4.15511e+06,59923.6,9.33397e+07
2.91783e+06,61045.2,9.53759e+07
1.65422e+06,62156.6,9.7396e+07
364501,63257.5,9.93999e+07
-951108,64347.7,1.01387e+08
-2.29238e+06,65427.1,1.03357e+08
-3.65908e+06,66495.5,1.0531e+08
-5.05096e+06,67552.8,1.07245e+08
-6.4678e+06,68598.6,1.09162e+08
-7.90934e+06,69633,1.11061e+08
-9.37534e+06,70655.5,1.12941e+08
-1.08655e+07,71666.2,1.14803e+08
-1.23797e+07,72664.9,1.16645e+08
-1.39175e+07,73651.3,1.18467e+08
-1.54787e+07,74625.3,1.20269e+08
-1.7063e+07,75586.8,1.22052e+08
-1.86703e+07,76535.5,1.23813e+08
-2.03001e+07,77471.4,1.25554e+08
-2.19522e+07,78394.2,1.27274e+08
-2.36263e+07,79303.8,1.28973e+08
-2.53221e+07,80200.1,1.30649e+08
-2.70393e+07,81082.9,1.32304e+08
-2.87777e+07,81952.1,1.33937e+08
-3.05369e+07,82807.5,1.35547e+08
