x,y,z
-1.49598e+08,1.31231,3199.51
-1.49598e+08,1.31443,3204.21
-1.49598e+08,1.31651,3208.83
-1.49598e+08,1.31856,3213.37
-1.49598e+08,1.32058,3217.82
-1.49598e+08,1.32256,3222.2
-1.49598e+08,1.3245,3226.49
-1.49598e+08,1.32642,3230.71
-1.49598e+08,1.3283,3234.84
-1.49598e+08,1.33014,3238.9
-1.49598e+08,1.33195,3242.87
-1.49598e+08,1.33373,3246.77
-1.49598e+08,1.33547,3250.6
-1.49598e+08,1.33719,3254.34
-1.49598e+08,1.33887,3258.01
-1.49598e+08,1.34051,3261.61
-1.49598e+08,1.34213,3265.13
-1.49598e+08,1.34371,3268.58
-1.49598e+08,1.34526,3271.95
-1.49598e+08,1.34678,3275.26
-1.49598e+08,1.34827,3278.49
-1.49598e+08,1.34972,3281.65
-1.49598e+08,1.35115,3284.74
-1.49598e+08,1.35255,3287.76
-1.49598e+08,1.35391,3290.72
-1.49598e+08,1.35525,3293.6
-1.49598e+08,1.35655,3296.42
-1.49598e+08,1.35783,3299.18
-1.49598e+08,1.35907,3301.87
-1.49598e+08,1.36029,3304.5
-1.49598e+08,1.36148,3307.06
-1.49598e+08,1.36264,3309.56
-1.49598e+08,1.36377,3312
-1.49598e+08,1.36488,3314.38
-1.49598e+08,1.36596,3316.7
-1.49598e+08,1.36701,3318.96
-1.49598e+08,1.36803,3321.16
-1.49598e+08,1.36903,3323.31
-1.49598e+08,1.37,3325.4
-1.49598e+08,1.37094,3327.44
-1.49598e+08,1.37186,3329.42
-1.49598e+08,1.37276,3331.35
-1.49598e+08,1.37363,3333.22
-1.49598e+08,1.37447,3335.05
-1.49598e+08,1.3753,3336.83
-1.49598e+08,1.37609,3338.56
-1.49598e+08,1.37687,3340.24
-1.49598e+08,1.37762,3341.87
-1.49598e+08,1.37835,3343.46
-1.49598e+08,1.37906,3345
-1.49598e+08,1.37974,3346.5
-1.49598e+08,1.3804,3347.95
-1.49598e+08,1.38105,3349.37
-1.49598e+08,1.38167,3350.74
-1.49598e+08,1.38227,3352.08
-1.49598e+08,1.38285,3353.37
-1.49598e+08,1.38342,3354.63
-1.49598e+08,1.38396,3355.86
-1.49598e+08,1.38449,3357.04
-1.49598e+08,1.38499,3358.2
-1.49598e+08,1.38548,3359.32
-1.49598e+08,1.38595,3360.41
-1.49598e+08,1.38641,3361.47
-1.49598e+08,1.38685,3362.5
-1.49598e+08,1.38727,3363.5
-1.49598e+08,1.38768,3364.48
-1.49598e+08,1.38807,3365.43
-1.49598e+08,1.38845,3366.35
-1.49598e+08,1.38881,3367.26
-1.49598e+08,1.38916,3368.14
-1.49598e+08,1.3895,3368.99
-1.49598e+08,1.38982,3369.83
-1.49598e+08,1.39014,3370.65
-1.49598e+08,1.39044,3371.45
-1.49598e+08,1.39072,3372.24
-1.49598e+08,1.391,3373.01
-1.49598e+08,1.39127,3373.77
-1.49598e+08,1.39153,3374.51
-1.49598e+08,1.39177,3375.24
-1.49598e+08,1.39201,3375.96
-1.49598e+08,1.39224,3376.68
-1.49598e+08,1.39247,3377.38
-1.49598e+08,1.39268,3378.08
-1.49598e+08,1.39289,3378.77
-1.49598e+08,1.39309,3379.46
-1.49598e+08,1.39329,3380.15
-1.49598e+08,1.39348,3380.83
-1.49598e+08,1.39366,3381.51
-1.49598e+08,1.39384,3382.2
-1.49598e+08,1.39402,3382.88
-1.49598e+08,1.39419,3383.57
-1.49598e+08,1.39436,3384.27
-1.49598e+08,1.39453,3384.97
-1.49598e+08,1.3947,3385.67
-1.49598e+08,1.39486,3386.38
-1.49598e+08,1.39502,3387.11
-1.49598e+08,1.39519,3387.84
-1.49598e+08,1.39535,3388.59
-1.49598e+08,1.39552,3389.35
-1.49598e+08,1.39568,3390.12
-1.49598e+08,1.39585,3390.91
-1.49598e+08,1.39602,3391.71
-1.49598e+08,1.39619,3392.53
-1.49598e+08,1.39636,3393.37
-1.49598e+08,1.39654,3394.23
-1.49598e+08,1.39673,3395.12
-1.49598e+08,1.39691,3396.02
-1.49598e+08,1.39711,3396.95
-1.49598e+08,1.39731,3397.91
-1.49598e+08,1.39751,3398.89
-1.49598e+08,1.39773,3399.89
-1.49598e+08,1.39795,3400.93
-1.49598e+08,1.39817,3402
-1.49598e+08,1.39841,3403.09
-1.49598e+08,1.39866,3404.22
-1.49598e+08,1.39891,3405.38
-1.49598e+08,1.39917,3406.58
-1.49598e+08,1.39945,3407.81
-1.49598e+08,1.39974,3409.08
-1.49598e+08,1.40003,3410.38
-1.49598e+08,1.40034,3411.73
-1.49598e+08,1.40067,3413.11
-1.49598e+08,1.401,3414.54
-1.49598e+08,1.40135,3416.01
-1.49598e+08,1.40171,3417.52
-1.49598e+08,1.40209,3419.07
-1.49598e+08,1.40248,3420.68
-1.49598e+08,1.40289,3422.32
-1.49598e+08,1.40331,3424.02
-1.49598e+08,1.40375,3425.76
-1.49598e+08,1.40421,3427.56
-1.49598e+08,1.40468,3429.4
-1.49598e+08,1.40517,3431.29
-1.49598e+08,1.40568,3433.24
-1.49598e+08,1.40621,3435.25
-1.49598e+08,1.40676,3437.3
-1.49598e+08,1.40733,3439.41
-1.49598e+08,1.40791,3441.58
-1.49598e+08,1.40852,3443.81
-1.49598e+08,1.40915,3446.09
-1.49598e+08,1.4098,3448.44
-1.49598e+08,1.41048,3450.84
-1.49598e+08,1.41117,3453.31
-1.49598e+08,1.41189,3455.84
-1.49598e+08,1.41263,3458.43
-1.49598e+08,1.4134,3461.08
-1.49598e+08,1.41418,3463.8
-1.49598e+08,1.415,3466.59
-1.49598e+08,1.41584,3469.44
-1.49598e+08,1.4167,3472.36
-1.49598e+08,1.41759,3475.35
-1.49598e+08,1.4185,3478.41
-1.49598e+08,1.41945,3481.53
-1.49598e+08,1.42041,3484.73
-1.49598e+08,1.42141,3488
-1.49598e+08,1.42243,3491.34
-1.49598e+08,1.42348,3494.75
-1.49598e+08,1.42456,3498.24
-1.49598e+08,1.42567,3501.8
-1.49598e+08,1.42681,3505.43
-1.49598e+08,1.42798,3509.14
-1.49598e+08,1.42917,3512.93
-1.49598e+08,1.4304,3516.79
-1.49598e+08,1.43165,3520.74
-1.49598e+08,1.43294,3524.75
-1.49598e+08,1.43426,3528.85
-1.49598e+08,1.43561,3533.03
-1.49598e+08,1.43699,3537.29
-1.49598e+08,1.4384,3541.62
-1.49598e+08,1.43984,3546.04
-1.49598e+08,1.44132,3550.54
-1.49598e+08,1.44283,3555.12
-1.49598e+08,1.44437,3559.78
-1.49598e+08,1.44595,3564.53
-1.49598e+08,1.44756,3569.36
-1.49598e+08,1.4492,3574.27
-1.49598e+08,1.45088,3579.27
-1.49598e+08,1.45259,3584.35
-1.49598e+08,1.45434,3589.52
-1.49598e+08,1.45612,3594.77
-1.49598e+08,1.45793,3600.11
-1.49598e+08,1.45978,3605.53
-1.49598e+08,1.46166,3611.04
-1.49598e+08,1.46358,3616.64
-1.49598e+08,1.46554,3622.32
-1.49598e+08,1.46753,3628.09
-1.49598e+08,1.46956,3633.95
-1.49598e+08,1.47162,3639.9
-1.49598e+08,1.47372,3645.93
-1.49598e+08,1.47586,3652.06
-1.49598e+08,1.47803,3658.27
-1.49598e+08,1.48024,3664.57
-1.49598e+08,1.48249,3670.95
-1.49598e+08,1.48477,3677.43
-1.49598e+08,1.48709,3684
-1.49598e+08,1.48945,3690.65
-1.49598e+08,1.49184,3697.4
-1.49598e+08,1.49428,3704.23
-1.49598e+08,1.49675,3711.15
-1.49598e+08,1.49925,3718.17
-1.49598e+08,1.5018,3725.27
-1.49598e+08,1.50438,3732.46
-1.49598e+08,1.507,3739.74
-1.49598e+08,1.50965,3747.11
-1.49598e+08,1.51235,3754.57
-1.49598e+08,1.51508,3762.12
-1.49598e+08,1.51785,3769.76
-1.49598e+08,1.52066,3777.48
-1.49598e+08,1.52351,3785.3
-1.49598e+08,1.52639,3793.21
-1.49598e+08,1.52931,3801.2
-1.49598e+08,1.53227,3809.29
-1.49598e+08,1.53527,3817.46
-1.49598e+08,1.5383,3825.72
-1.49598e+08,1.54138,3834.07
-1.49598e+08,1.54449,3842.5
-1.49598e+08,1.54764,3851.03
-1.49598e+08,1.55082,3859.64
-1.49598e+08,1.55405,3868.34
-1.49598e+08,1.55731,3877.13
-1.49598e+08,1.56061,3886
-1.49598e+08,1.56394,3894.96
-1.49598e+08,1.56731,3904.01
-1.49598e+08,1.57073,3913.14
-1.49598e+08,1.57417,3922.36
-1.49598e+08,1.57766,3931.67
-1.49598e+08,1.58118,3941.05
-1.49598e+08,1.58474,3950.53
-1.49598e+08,1.58833,3960.08
-1.49598e+08,1.59196,3969.73
-1.49598e+08,1.59563,3979.45
-1.49598e+08,1.59933,3989.26
-1.49598e+08,1.60307,3999.15
-1.49598e+08,1.60685,4009.12
-1.49598e+08,1.61066,4019.18
-1.49598e+08,1.61451,4029.31
-1.49598e+08,1.61839,4039.53
-1.49598e+08,1.62231,4049.82
-1.49598e+08,1.62627,4060.2
-1.49598e+08,1.63026,4070.66
-1.49598e+08,1.63428,4081.19
-1.49598e+08,1.63834,4091.8
-1.49598e+08,1.64243,4102.49
-1.49598e+08,1.64656,4113.26
-1.49598e+08,1.65072,4124.1
-1.49598e+08,1.65491,4135.02
-1.49598e+08,1.65914,4146.02
-1.49598e+08,1.6634,4157.09
-1.49598e+08,1.6677,4168.23
-1.49598e+08,1.67202,4179.45
-1.49598e+08,1.67638,4190.74
-1.49598e+08,1.68078,4202.1
-1.49598e+08,1.6852,4213.53
-1.49598e+08,1.68966,4225.04
-1.49598e+08,1.69415,4236.61
-1.49598e+08,1.69867,4248.25
-1.49598e+08,1.70322,4259.97
-1.49598e+08,1.7078,4271.75
-1.49598e+08,1.71242,4283.6
-1.49598e+08,1.71706,4295.51
-1.49598e+08,1.72173,4307.49
-1.49598e+08,1.72644,4319.54
-1.49598e+08,1.73117,4331.65
-1.49598e+08,1.73593,4343.83
-1.49598e+08,1.74072,4356.07
-1.49598e+08,1.74554,4368.37
-1.49598e+08,1.75039,4380.73
-1.49598e+08,1.75527,4393.15
-1.49598e+08,1.76017,4405.64
-1.49598e+08,1.7651,4418.18
-1.49598e+08,1.77006,4430.78
-1.49598e+08,1.77505,4443.44
-1.49598e+08,1.78006,4456.15
-1.49598e+08,1.7851,4468.93
-1.49598e+08,1.79017,4481.75
-1.49598e+08,1.79526,4494.63
-1.49598e+08,1.80037,4507.57
-1.49598e+08,1.80551,4520.56
-1.49598e+08,1.81068,4533.6
-1.49598e+08,1.81587,4546.69
-1.49598e+08,1.82108,4559.83
-1.49598e+08,1.82632,4573.02
-1.49598e+08,1.83158,4586.26
-1.49598e+08,1.83686,4599.55
-1.49598e+08,1.84217,4612.88
-1.49598e+08,1.8475,4626.26
-1.49598e+08,1.85285,4639.69
-1.49598e+08,1.85822,4653.16
-1.49598e+08,1.86362,4666.67
-1.49598e+08,1.86903,4680.23
-1.49598e+08,1.87446,4693.83
-1.49598e+08,1.87992,4707.47
-1.49598e+08,1.8854,4721.15
-1.49598e+08,1.89089,4734.86
-1.49598e+08,1.8964,4748.62
-1.49598e+08,1.90194,4762.41
-1.49598e+08,1.90749,4776.24
-1.49598e+08,1.91306,4790.11
-1.49598e+08,1.91865,4804.01
-1.49598e+08,1.92425,4817.94
-1.49598e+08,1.92987,4831.91
-1.49598e+08,1.93551,4845.91
-1.49598e+08,1.94117,4859.94
-1.49598e+08,1.94684,4874
-1.49598e+08,1.95252,4888.09
-1.49598e+08,1.95822,4902.21
-1.49598e+08,1.96394,4916.35
-1.49598e+08,1.96967,4930.53
-1.49598e+08,1.97542,4944.73
-1.49598e+08,1.98118,4958.95
-1.49598e+08,1.98695,4973.19
-1.49598e+08,1.99273,4987.46
-1.49598e+08,1.99853,5001.76
-1.49598e+08,2.00434,5016.07
-1.49598e+08,2.01016,5030.4
-1.49598e+08,2.016,5044.76
-1.49598e+08,2.02184,5059.13
-1.49598e+08,2.0277,5073.52
-1.49598e+08,2.03357,5087.92
-1.49598e+08,2.03944,5102.34
-1.49598e+08,2.04533,5116.78
-1.49598e+08,2.05123,5131.23
-1.49598e+08,2.05713,5145.7
-1.49598e+08,2.06304,5160.17
-1.49598e+08,2.06897,5174.66
-1.49598e+08,2.0749,5189.16
-1.49598e+08,2.08083,5203.67
-1.49598e+08,2.08678,5218.18
-1.49598e+08,2.09273,5232.71
-1.49598e+08,2.09869,5247.24
-1.49598e+08,2.10465,5261.78
-1.49598e+08,2.11063,5276.32
-1.49598e+08,2.1166,5290.87
-1.49598e+08,2.12258,5305.42
-1.49598e+08,2.12857,5319.97
-1.49598e+08,2.13456,5334.53
-1.49598e+08,2.14055,5349.09
-1.49598e+08,2.14655,5363.64
-1.49598e+08,2.15255,5378.2
-1.49598e+08,2.15856,5392.75
-1.49598e+08,2.16456,5407.31
-1.49598e+08,2.17057,5421.85
-1.49598e+08,2.17658,5436.4
-1.49598e+08,2.1826,5450.94
-1.49598e+08,2.18861,5465.47
